,Dataset,Classifier,Training accuracy,Validation accuracy,Classifier object
201,"['TFIDF', None, None, (1, 1)]",knn,0.7085262871152275,0.723799795709908,{'clf__n_neighbors': 50}
202,"['TFIDF', None, None, (1, 1)]",randomforests,0.6932715881231272,0.688661899897855,{'clf__n_estimators': 1000}
203,"['TFIDF', None, None, (1, 1)]",logreg,0.8184418414600926,0.8357507660878447,"{'clf__C': 10, 'clf__penalty': 'l2'}"
204,"['TFIDF', None, None, (1, 2)]",svm,0.8287251430128031,0.8322778345250256,"{'clf__C': 10, 'clf__kernel': 'linear'}"
205,"['TFIDF', None, None, (1, 2)]",nb,0.8095886679378916,0.8239019407558733,"{'clf__alpha': 0, 'clf__fit_prior': True}"
206,"['TFIDF', None, None, (1, 2)]",xgboost,0.7463906292563334,0.7338100102145046,{'clf__n_estimators': 1000}
207,"['TFIDF', None, None, (1, 2)]",knn,0.7152002179242714,0.7197139938712972,{'clf__n_neighbors': 50}
208,"['TFIDF', None, None, (1, 2)]",randomforests,0.6673930809043858,0.6682328907048009,{'clf__n_estimators': 1000}
209,"['TFIDF', None, None, (1, 2)]",logreg,0.8280441296649415,0.8402451481103167,"{'clf__C': 100, 'clf__penalty': 'l2'}"
210,"['TFIDF', None, None, (2, 2)]",svm,0.7431898665213839,0.7626149131767109,"{'clf__C': 10, 'clf__kernel': 'linear'}"
211,"['TFIDF', None, None, (2, 2)]",nb,0.7465268319259057,0.777732379979571,"{'clf__alpha': 1, 'clf__fit_prior': False}"
212,"['TFIDF', None, None, (2, 2)]",xgboost,0.6180877145192045,0.6326864147088866,{'clf__n_estimators': 1000}
213,"['TFIDF', None, None, (2, 2)]",knn,0.6560201579950967,0.6792645556690501,{'clf__n_neighbors': 50}
214,"['TFIDF', None, None, (2, 2)]",randomforests,0.5750476709343503,0.5936670071501532,{'clf__n_estimators': 1000}
215,"['TFIDF', None, None, (2, 2)]",logreg,0.7436665758648869,0.7554647599591421,"{'clf__C': 100, 'clf__penalty': 'l2'}"
